Driver_id,Driver_name,Driver_date_of_birth,Driver_photo_path
0,Max Verstappen,30 september 1997,media/Max_Verstappen.jpg
1,Sergio Pérez,26 januari 1990,media/Sergio_Pérez.jpg
2,Charles Leclerc,16 oktober 1997,media/Charles_Leclerc.jpg
3,George Russell,15 februari 1998,media/George_Russell.jpg
4,Oscar Piastri,6 april 2001,media/Oscar_Piastri.jpg
5,Carlos Sainz jr.,1 september 1994,media/Carlos_Sainz_jr..jpg
6,Fernando Alonso,29 juli 1981,media/Fernando_Alonso.jpg
7,Lando Norris,13 november 1999,media/Lando_Norris.jpg
8,Lewis Hamilton,7 januari 1985,media/Lewis_Hamilton.jpg
9,Oliver Bearman,8 mei 2005,media/Oliver_Bearman.jpg
10,Nico Hülkenberg,19 augustus 1987,media/Nico_Hülkenberg.jpg
11,Lance Stroll,29 oktober 1998,media/Lance_Stroll.jpg
12,Alexander Albon,23 maart 1996,media/Alexander_Albon.jpg
13,Zhou Guanyu,30 mei 1999,media/Zhou_Guanyu.jpg
14,Kevin Magnussen,5 oktober 1992,media/Kevin_Magnussen.jpg
15,Daniel Ricciardo,1 juli 1989,media/Daniel_Ricciardo.jpg
16,Esteban Ocon,17 september 1996,media/Esteban_Ocon.jpg
17,Yuki Tsunoda,11 mei 2000,media/Yuki_Tsunoda.jpg
18,Logan Sargeant,31 december 2000,media/Logan_Sargeant.jpg
19,Valtteri Bottas,28 augustus 1989,media/Valtteri_Bottas.jpg
20,Pierre Gasly,7 februari 1996,media/Pierre_Gasly.jpg
